retweet_count,favorite_count,user_followers_count,date
0,0,316,2020-03-19
0,9,540,2020-03-23
0,1,4734,2020-03-18
22,40,168,2020-03-28
0,0,1031,2020-03-31
1,2,4861,2020-04-17
0,0,184,2020-04-03
1,0,1157,2020-04-09
0,0,85,2020-04-03
0,1,3072,2020-04-20
0,0,32,2020-03-31
0,1,114,2020-03-25
0,0,32,2020-04-04
0,1,1637,2020-04-23
0,0,2125,2020-04-05
0,0,1637,2020-04-19
1,0,12557,2020-03-29
0,0,999,2020-04-10
0,0,159,2020-03-29
0,0,1637,2020-04-25
0,6,401,2020-04-03
0,3,193,2020-03-28
2,1,4657,2020-03-27
0,0,10,2020-04-13
3,5,30400,2020-03-29
1,2,2980,2020-03-25
0,0,78,2020-04-11
0,0,1637,2020-04-12
0,0,32,2020-04-25
0,0,102,2020-03-26
0,0,32,2020-04-15
0,0,177,2020-04-07
0,0,7497,2020-04-17
0,0,1031,2020-04-06
0,0,35,2020-05-22
0,0,442,2020-05-24
0,1,112,2020-05-15
0,1,161,2020-05-11
0,0,2933,2020-05-12
0,0,1637,2020-05-07
1,1,746,2020-05-19
0,1,5443,2020-05-21
0,0,3461,2020-05-10
0,0,154,2020-05-23
0,0,3461,2020-05-21
2,22,103326,2020-04-30
0,0,180,2020-05-15
0,0,641,2020-05-21
0,0,490,2020-05-22
1,0,555,2020-05-02
2,4,4831,2020-05-16
1,1,442,2020-05-21
0,0,55,2020-05-21
0,0,2486,2020-05-24
0,1,2559,2020-05-23
1,1,3461,2020-05-24
0,0,32,2020-05-01
0,1,11524,2020-05-22
0,1,799,2020-05-24
0,1,3072,2020-05-23
0,0,184,2020-05-01
0,2,161,2020-05-18
1,0,32,2020-05-24
0,0,548,2020-05-24
2,3,45448,2020-05-22
1,2,11524,2020-05-23
0,0,1637,2020-04-28
0,0,301,2020-05-01
0,0,349,2020-05-24
0,0,7900,2020-05-24
0,1,1539,2020-05-18
3,4,5336,2020-05-24
15,19,5443,2020-05-09
0,0,2542,2020-05-18
6,5,55278,2020-05-24
0,0,443,2020-05-22
1,0,47,2020-05-22
0,0,280,2020-05-24
1,0,341,2020-05-24
2,2,2013,2020-05-23
1,3,5443,2020-05-21
0,0,490,2020-05-19
0,0,282,2020-05-22
0,0,2465,2020-05-24
1,2,1939,2020-05-25
8,4,6745,2020-05-25
2,3,1493,2020-05-25
0,0,110,2020-05-25
1,4,2486,2020-05-25
0,1,11,2020-05-25
0,1,11568,2020-05-25
3,2,8858,2020-05-25
