date,replies_count,retweets_count,likes_count
2020-05-22,446,1652,9800
2020-05-20,280,804,3940
2020-05-20,73,335,1550
2020-05-20,475,3440,20202
2020-05-19,134,604,3840
2020-05-18,213,1324,7982
2020-05-17,1253,5734,33643
2020-05-15,176,442,1834
2020-05-15,519,2678,15946
2020-05-14,1525,14284,59028
2020-05-13,864,4030,28683
2020-05-11,566,3058,17036
2020-05-11,88,219,1028
2020-05-10,598,1969,12948
2020-05-08,91,220,1049
2020-05-08,795,3741,21068
2020-05-07,193,672,2811
2020-05-07,94,255,1217
2020-05-07,273,1109,6719
2020-05-06,320,1293,8349
2020-05-06,160,1567,8206
2020-05-06,250,1277,7303
2020-05-05,607,3048,16204
2020-05-04,488,3311,20381
2020-05-03,1278,5193,32383
2020-05-03,492,1907,12941
2020-05-01,267,987,4269
2020-05-01,234,820,3292
2020-04-30,416,750,3713
2020-04-30,512,584,2907
2020-04-29,1062,4759,32498
2020-04-29,313,1512,9559
2020-04-29,183,906,4222
2020-04-29,372,1928,8175
2020-04-29,357,1212,5692
2020-04-27,362,457,2685
2020-04-27,266,368,1889
2020-04-27,522,1989,10325
2020-04-25,2395,15059,96123
2020-04-24,1756,8662,51078
2020-04-23,269,834,3309
2020-04-23,141,926,4121
2020-04-23,133,457,2115
2020-04-23,692,5587,30942
2020-04-21,325,1510,5668
2020-04-21,485,3282,22623
2020-04-20,711,4236,23326
2020-04-19,348,1507,7224
2020-04-19,2041,5999,43687
2020-04-18,835,6180,24322
2020-04-18,188,991,5545
2020-04-17,153,378,1573
2020-04-16,3118,15359,98918
2020-04-16,198,333,2106
2020-04-15,328,564,3152
2020-04-14,1415,3042,20470
2020-04-07,493,2579,8916
2020-04-07,740,2946,20153
2020-04-07,329,1084,3701
2020-04-06,528,3549,18304
2020-04-04,156,728,2894
2020-04-04,178,1112,3528
2020-04-04,224,2040,9564
2020-04-04,618,4437,28762
2020-04-03,185,1311,4378
2020-04-02,518,2633,11688
2020-04-02,119,707,2976
2020-04-02,120,1267,5517
2020-04-02,1152,4294,26808
2020-04-01,2170,13221,85305
2020-04-01,494,2495,12850
2020-04-01,14,320,1479
2020-04-01,485,4663,22284
2020-03-30,417,1467,4653
2020-03-30,986,5326,26583
2020-03-30,180,1080,3848
2020-03-30,215,1755,7164
2020-03-30,143,534,2117
2020-03-30,266,2623,9809
2020-03-29,148,764,4750
2020-03-29,80,706,3759
2020-03-28,404,3431,13825
2020-03-27,347,2342,8179
2020-03-27,230,1405,5981
2020-03-26,286,3373,11808
2020-03-26,458,4378,20308
2020-03-25,1021,4370,16832
2020-03-25,355,3514,15540
2020-03-25,232,1060,4344
2020-03-24,487,2239,7273
2020-03-24,255,1072,3910
2020-03-23,159,2361,14878
2020-03-23,968,14090,57793
2020-03-22,7455,40469,217081
2020-03-22,1787,4702,15904
2020-03-22,1420,2737,11208
2020-03-22,213,1750,6397
2020-03-22,85,1854,11921
2020-03-21,247,1577,8572
2020-03-21,1477,14218,87062
2020-03-21,180,1269,6213
2020-03-21,9402,52362,295006
2020-03-20,950,3575,12253
2020-03-20,133,634,3383
2020-03-20,1047,9593,56509
2020-03-20,598,7139,36793
2020-03-20,565,3667,14132
2020-03-20,571,6939,27872
2020-03-19,301,2656,9893
2020-03-18,231,1508,6945
2020-03-17,1838,3651,15362
2020-03-17,761,2393,9463
2020-03-17,757,1368,8805
2020-03-17,404,1502,6909
2020-03-17,1230,6178,33996
2020-03-15,283,4231,15966
2020-03-15,546,3416,18549
2020-03-14,1176,10631,69489
2020-03-13,458,3422,13973
2020-03-13,938,3442,27675
2020-03-13,1122,12986,96983
2020-03-12,2284,28093,140834
2020-03-11,1414,11848,67450
2020-03-09,2135,18005,111708
2020-03-09,323,2986,16468
2020-03-09,604,2744,12932
2020-03-09,213,1076,5241
2020-03-08,21473,112774,779571
2020-03-07,303,1780,7466
2020-03-07,1215,7833,34907
2020-03-05,547,3861,23971
2020-05-23,1066,556,4103
2020-05-23,5039,4027,25276
2020-05-19,167,86,932
2020-05-15,36,74,277
2020-05-15,305,387,1735
2020-05-13,445,92,760
2020-05-13,11,36,425
2020-05-13,138,499,2089
2020-05-12,37,198,1477
2020-05-12,56,107,293
2020-05-08,557,785,5346
2020-05-07,53,119,470
2020-05-06,98,196,1202
2020-05-05,132,181,1028
2020-05-01,223,80,752
2020-04-29,160,392,2767
2020-04-28,38,50,178
2020-04-26,134,508,1964
2020-04-24,139,356,1593
2020-04-23,383,1525,6676
2020-04-23,31,29,232
2020-04-23,248,834,3094
2020-04-22,45,79,325
2020-04-21,142,418,1922
2020-04-21,151,102,1079
2020-04-19,200,398,1795
2020-04-18,102,135,689
2020-04-17,16,119,457
2020-04-17,70,87,463
2020-04-17,121,205,1439
2020-04-16,24,147,487
2020-04-15,9,18,106
2020-04-15,20,59,298
2020-04-14,156,681,2582
2020-04-14,53,119,575
2020-04-14,29,78,197
2020-04-11,65,30,309
2020-04-11,402,228,1924
2020-04-10,105,515,2197
2020-04-09,25,44,182
2020-04-08,47,69,654
2020-04-08,34,48,169
2020-04-08,487,705,5319
2020-04-07,114,399,2469
2020-04-07,431,360,2202
2020-04-07,91,155,1002
2020-04-07,66,46,751
2020-04-07,224,1062,4526
2020-04-06,24,54,305
2020-04-06,507,807,6042
2020-04-06,137,321,1704
2020-04-06,60,189,564
2020-04-06,158,262,2399
2020-04-03,36,33,204
2020-04-03,85,304,1187
2020-04-02,189,166,870
2020-04-02,18,24,220
2020-04-02,32,125,810
2020-04-02,56,95,581
2020-04-02,127,250,1494
2020-04-02,1012,1741,11242
2020-04-01,51,287,974
2020-04-01,40,134,367
2020-04-01,156,601,2366
2020-04-01,76,404,1547
2020-03-31,97,107,677
2020-03-31,64,92,873
2020-03-31,99,155,1051
2020-03-31,13,68,248
2020-03-30,37,230,1311
2020-03-29,262,710,8049
2020-03-27,1,8,41
2020-03-27,1,9,41
2020-03-27,27,45,240
2020-03-26,60,97,508
2020-03-26,150,476,2736
2020-03-25,111,140,1719
2020-03-24,71,67,307
2020-03-24,115,233,1374
2020-03-23,243,662,3498
2020-03-22,131,107,2132
2020-03-22,10,6,176
2020-03-22,53,89,743
2020-03-22,459,1774,12183
2020-03-22,66,254,1258
2020-03-22,35,98,384
2020-03-21,103,77,452
2020-03-20,318,2342,8850
2020-03-19,76,423,1860
2020-03-19,274,141,936
2020-03-18,586,625,3389
2020-03-17,287,2236,8706
2020-03-17,58,203,896
2020-03-17,82,448,1690
2020-03-16,819,384,2517
2020-03-15,37,265,1565
2020-03-15,28,102,397
2020-03-15,67,946,3503
2020-03-15,54,111,588
2020-03-15,137,485,2049
2020-03-14,155,835,4074
2020-03-13,62,473,1837
2020-03-13,161,750,2659
2020-03-12,100,614,2858
2020-03-12,254,1886,8606
2020-03-12,135,989,4504
2020-03-12,1698,780,6051
2020-03-12,58,418,2111
2020-03-12,67,143,978
2020-03-12,74,399,2172
2020-03-12,72,451,1947
2020-03-12,94,722,3062
2020-03-11,410,116,1352
2020-03-09,2174,1048,5237
2020-03-08,301,1412,6344
2020-03-06,2144,1891,7130
2020-03-04,63,89,1077
2020-03-02,1841,2860,20433
2020-03-02,198,741,3485
2020-03-02,397,176,2348
2020-05-25,2,26,104
2020-05-25,13,113,353
2020-05-25,5,10,106
2020-05-25,5,17,126
2020-05-25,10,76,301
2020-05-25,14,112,303
2020-05-25,8,47,186
2020-05-25,22,95,394
2020-05-25,6,9,79
2020-05-25,18,41,169
2020-05-25,7,30,176
2020-05-25,38,179,699
2020-05-25,20,61,82
2020-05-24,4,23,140
2020-05-24,5,20,118
2020-05-24,1,16,84
2020-05-24,21,78,349
2020-05-24,4,32,202
2020-05-24,10,88,361
2020-05-24,21,37,175
2020-05-24,2,17,108
2020-05-24,8,56,226
2020-05-24,8,47,110
2020-05-23,8,14,94
2020-05-23,12,19,104
2020-05-23,3,21,71
2020-05-23,2,17,74
2020-05-23,26,84,321
2020-05-23,34,39,172
2020-05-23,12,17,106
2020-05-23,29,79,339
2020-05-23,25,181,1095
2020-05-23,17,48,99
2020-05-22,7,31,225
2020-05-22,4,37,196
2020-05-22,4,35,157
2020-05-22,2,25,132
2020-05-22,37,155,624
2020-05-22,7,28,178
2020-05-22,5,20,137
2020-05-22,12,63,301
2020-05-22,8,37,56
2020-05-22,8,12,100
2020-05-22,20,63,228
2020-05-22,2,16,45
2020-05-22,2,34,89
2020-05-22,14,54,70
2020-05-21,8,25,116
2020-05-21,14,24,111
2020-05-21,2,18,71
2020-05-21,3,19,76
2020-05-21,28,94,301
2020-05-21,3,33,164
2020-05-21,2,31,157
2020-05-21,25,93,328
2020-05-21,11,18,76
2020-05-21,20,44,147
2020-05-21,14,56,67
2020-05-20,42,72,153
2020-05-20,8,59,263
2020-05-20,15,44,201
2020-05-20,1,27,135
2020-05-20,2,25,132
2020-05-20,29,146,591
2020-05-20,3,40,62
2020-05-20,13,48,229
2020-05-20,4,34,194
2020-05-20,34,111,430
2020-05-20,14,38,75
2020-05-20,11,18,97
2020-05-20,25,53,220
2020-05-20,17,55,93
2020-05-19,13,93,418
2020-05-19,38,52,462
2020-05-19,11,31,326
2020-05-19,8,32,272
2020-05-19,150,167,1313
2020-05-19,15,87,230
2020-05-19,13,40,199
2020-05-19,13,45,194
2020-05-19,31,138,499
2020-05-19,2,12,70
2020-05-19,10,38,149
2020-05-19,7,67,80
2020-05-18,8,11,93
2020-05-18,12,23,128
2020-05-18,3,11,86
2020-05-18,2,9,63
2020-05-18,21,44,220
2020-05-18,5,26,145
2020-05-18,14,67,284
2020-05-18,2,32,51
2020-05-17,4,15,114
2020-05-17,2,8,42
2020-05-17,21,36,180
2020-05-17,6,12,146
2020-05-17,12,63,281
2020-05-17,7,38,113
2020-05-17,4,26,70
2020-05-16,9,55,319
2020-05-16,19,69,436
2020-05-16,31,197,887
2020-05-16,5,24,114
2020-05-16,2,20,86
2020-05-16,1,15,57
2020-05-16,1,13,44
2020-05-16,10,59,197
2020-05-16,17,82,199
2020-05-16,4,17,119
2020-05-16,13,61,245
2020-05-16,8,83,314
2020-05-16,9,33,65
2020-05-15,4,27,163
2020-05-15,2,27,145
2020-05-15,5,17,88
2020-05-15,15,121,414
2020-05-15,24,180,363
2020-05-15,1,53,226
2020-05-15,2,51,199
2020-05-15,19,130,505
2020-05-15,3,12,57
2020-05-15,9,28,119
2020-05-15,3,37,74
2020-05-15,7,24,110
2020-05-15,9,105,178
2020-05-15,15,40,236
2020-05-15,1,39,221
2020-05-15,28,172,634
2020-05-15,7,17,204
2020-05-15,13,35,75
2020-05-14,4,16,99
2020-05-14,12,19,148
2020-05-14,3,17,83
2020-05-14,6,12,89
2020-05-14,6,22,94
2020-05-14,17,41,177
2020-05-14,3,13,109
2020-05-14,13,65,224
2020-05-14,17,130,626
2020-05-14,14,54,62
2020-05-13,5,21,125
2020-05-13,3,15,100
2020-05-13,2,15,77
2020-05-13,1,19,87
2020-05-13,20,91,358
2020-05-13,4,12,74
2020-05-13,1,11,65
2020-05-13,1,12,57
2020-05-13,1,16,66
2020-05-13,18,71,244
2020-05-13,6,53,75
2020-05-13,10,24,124
2020-05-13,14,47,223
2020-05-13,16,90,287
2020-05-13,5,46,75
2020-05-13,7,22,99
2020-05-12,19,58,195
2020-05-12,3,19,143
2020-05-12,1,10,74
2020-05-12,1,12,78
2020-05-12,15,63,243
2020-05-12,7,27,198
2020-05-12,22,74,321
2020-05-12,16,46,62
2020-05-11,15,61,351
2020-05-11,3,58,253
2020-05-11,3,35,160
2020-05-11,39,141,696
2020-05-11,8,15,77
2020-05-11,7,26,131
2020-05-11,11,48,220
2020-05-11,53,334,1173
2020-05-11,12,69,106
2020-05-10,10,33,270
2020-05-10,24,71,547
