retweet_count,favorite_count,user_followers_count,date
3,0,18680,2020-05-25
1,4,144497,2020-04-01
22,24,293623,2020-03-25
0,0,94847,2020-05-13
0,3,60058,2020-05-23
4,0,7470,2020-04-06
4,4,60058,2020-04-07
2,5,77655,2020-04-08
362,0,303,2020-04-21
54,65,91616,2020-03-21
1888,2448,1328359,2020-04-28
38,0,485512,2020-05-15
74,59,91616,2020-04-17
8,0,3031,2020-03-09
2,4,60058,2020-04-22
176,479,2484148,2020-04-04
223,1258,2484148,2020-04-02
0,0,96,2020-04-16
10,22,68966,2020-03-13
87,182,378858,2020-05-18
2,0,25835,2020-05-13
0,0,91,2020-04-24
5,14,68966,2020-03-06
32,0,981,2020-03-01
99,304,2484148,2020-05-07
27,0,2484148,2020-04-17
0,6,68966,2020-03-28
23,62,2484148,2020-05-22
12,42,9530,2020-04-15
3,8,68966,2020-03-31
34,90,2484148,2020-04-07
93,121,834276,2020-05-09
77,0,7470,2020-03-31
452,0,39508,2020-03-20
11,19,201223,2020-04-30
0,0,107,2020-03-27
70,0,2484148,2020-05-14
67,0,378858,2020-04-06
3,7,45459,2020-04-09
30,22,19164,2020-04-08
28,46,68093,2020-04-06
53,0,378858,2020-05-13
40,0,21322,2020-04-20
4568,0,611,2020-03-16
223,337,834276,2020-05-01
2,7,144497,2020-04-03
24,59,2484148,2020-05-19
34,0,378858,2020-05-06
2,0,77655,2020-03-30
19,17,2032861,2020-03-22
33,53,708489,2020-05-06
76,0,23564,2020-04-17
6,11,77655,2020-05-24
79,75,94847,2020-05-05
7,11,2032861,2020-04-17
1,3,68966,2020-03-27
1,1,2124,2020-03-23
74,198,708489,2020-04-30
4,9,60058,2020-04-12
28,85,2484148,2020-05-14
2,1,108424,2020-03-09
1197,1880,834276,2020-03-30
178,0,3039,2020-04-02
1631,0,23,2020-03-10
85,0,378858,2020-03-21
1,1,4470,2020-04-21
23,80,708489,2020-05-04
2,3,60058,2020-04-13
25,47,2032861,2020-05-02
2,17,52475,2020-04-04
0,2,68966,2020-03-11
0,0,1002,2020-03-10
25,18,91616,2020-04-09
9920,0,273,2020-03-22
29,0,45459,2020-03-17
8,0,7470,2020-05-21
0,1,52,2020-03-04
77,129,694204,2020-04-23
234,0,39508,2020-03-31
22,31,694204,2020-03-30
35,0,52475,2020-03-14
193,0,21322,2020-03-05
13,18,108424,2020-04-15
7,16,68093,2020-04-25
8,11,68966,2020-05-09
11,0,52475,2020-04-10
31,0,2484148,2020-05-11
47,0,91616,2020-03-22
19,0,2032861,2020-05-18
5,7,68966,2020-03-20
172,0,7470,2020-03-25
10,13,2032861,2020-04-06
1,3,45459,2020-03-02
152,272,834276,2020-04-03
344,432,1083476,2020-04-03
2,4,60058,2020-04-18
1170,0,25835,2020-04-08
11,9,19170,2020-03-28
7,24,3127760,2020-03-21
54,63,1328359,2020-04-28
4,4,34158,2020-04-10
7,8,45459,2020-04-15
43,39,19164,2020-04-07
48,0,39508,2020-03-27
35,0,1532,2020-05-13
32,54,60058,2020-03-31
38,43,378858,2020-04-03
1,2,60058,2020-04-15
2,4,8651,2020-04-22
5,12,68966,2020-04-10
10,22,108424,2020-04-08
38,65,1083476,2020-04-22
4905,0,590,2020-03-18
281,551,2484148,2020-03-19
4,14,68966,2020-05-21
25,37,1083476,2020-04-28
46,58,3127760,2020-04-08
36,76,2032861,2020-03-14
31653,0,1658,2020-03-14
177,0,39508,2020-03-26
22207,0,165,2020-03-13
556,0,44,2020-04-07
26,0,18123,2020-04-07
5697,0,9,2020-03-22
1655,0,2,2020-03-09
27,54,2484148,2020-03-13
38,0,61,2020-03-01
0,0,50,2020-03-10
36,0,108424,2020-03-30
73,72,23564,2020-05-22
5,23,10588,2020-03-05
34,0,2484148,2020-05-11
1,6,68966,2020-03-25
3,2,60058,2020-04-22
42,64,201223,2020-05-19
10,12,18123,2020-03-13
28,37,60058,2020-03-22
1,1,68966,2020-05-02
41,0,39508,2020-03-19
3,0,962,2020-03-10
1,4,52475,2020-03-05
7,3,19164,2020-04-28
0,1,1915,2020-03-03
113,332,2484148,2020-04-17
5,3,4470,2020-03-03
19,30,201223,2020-03-27
26,162,2484148,2020-04-30
2,6,18680,2020-03-23
112,0,1083476,2020-05-14
214,488,144497,2020-05-11
58,117,2032861,2020-04-06
1238,0,275,2020-03-21
8,8,18123,2020-03-22
0,6,68966,2020-03-05
29,21,378858,2020-05-01
5,6,45459,2020-03-31
28,0,39508,2020-05-06
0,0,94847,2020-03-16
0,4,8651,2020-04-17
4,0,7470,2020-03-28
42,100,3127760,2020-05-18
87,168,2032861,2020-04-26
3,0,25835,2020-04-09
88,0,39508,2020-04-24
1,6,68966,2020-04-21
59,0,2484148,2020-05-13
13,11,60058,2020-03-11
3,0,181,2020-03-01
380,0,25835,2020-05-18
8,13,60058,2020-03-02
0,11,68966,2020-04-25
0,0,68966,2020-03-21
42,94,293623,2020-04-26
15,0,60058,2020-03-25
41,26,45459,2020-03-23
33,0,39508,2020-05-01
1,3,19164,2020-05-20
58,94,201223,2020-04-29
11,29,144497,2020-05-13
0,0,151,2020-03-11
49,38,91616,2020-03-21
113,0,11,2020-03-06
38,52,91616,2020-03-13
292,489,834276,2020-04-02
37,39,60058,2020-04-01
3,0,25835,2020-04-27
50,119,52475,2020-04-04
59,41,1328359,2020-05-09
58,106,3127760,2020-05-20
6,5,19164,2020-03-19
10,9,77655,2020-04-11
11,36,45459,2020-04-21
11,22,34158,2020-03-17
3,7,52475,2020-04-22
25,29,39508,2020-03-04
1,2,19164,2020-05-15
2020,0,708489,2020-03-20
0,1,94847,2020-04-29
111,132,144497,2020-03-23
43,0,52475,2020-05-20
0,1,52475,2020-04-08
53,0,7470,2020-03-17
2,12,45459,2020-04-09
0,1,52475,2020-03-09
2051,0,7470,2020-03-17
9,15,68093,2020-04-22
17,71,2484148,2020-05-20
17,44,834276,2020-03-25
106,263,2484148,2020-05-01
17,7,45459,2020-04-21
2,10,108424,2020-04-15
25,38,1083476,2020-03-30
4,15,68966,2020-04-12
3,5,45459,2020-03-19
80,0,23564,2020-04-01
11,23,694204,2020-04-19
436,1485,708489,2020-03-27
3,7,60058,2020-04-25
49,150,2484148,2020-04-15
37,47,3127760,2020-03-02
7,0,7470,2020-05-19
3,0,25835,2020-05-14
18,19,19164,2020-04-30
4,9,77655,2020-04-03
76,121,834276,2020-05-15
27,60,91616,2020-04-18
28,45,19164,2020-03-19
57,82,2032861,2020-05-07
3,4,45459,2020-04-06
49,97,834276,2020-04-25
6,6,19164,2020-04-22
68,215,2484148,2020-04-07
1,1,556,2020-03-04
14,17,3127760,2020-05-14
3,22,68966,2020-05-10
859,0,2,2020-04-17
6,0,2863,2020-03-25
3,4,60058,2020-04-18
151,180,485512,2020-05-14
38,55,108424,2020-04-03
1,19,68966,2020-05-12
3,6,39508,2020-05-15
1,4,60058,2020-05-03
9,11,68966,2020-04-10
0,0,288,2020-04-06
6,12,68966,2020-05-02
22,18,45459,2020-03-29
2,5,60058,2020-04-29
58,158,2484148,2020-04-21
5,7,60058,2020-04-13
6,10,144497,2020-04-19
76,99,201223,2020-05-01
20,13,60058,2020-03-18
59,109,201223,2020-04-07
17,20,3127760,2020-03-27
0,0,94847,2020-04-15
9,5,34158,2020-03-13
0,0,1467,2020-03-04
824,0,1747,2020-04-11
14,30,694204,2020-04-15
29,31,60058,2020-03-28
7,8,34158,2020-05-06
15,16,2032861,2020-05-13
0,1,9790,2020-03-23
2,4,60058,2020-05-24
16,26,108424,2020-04-11
304,368,293623,2020-04-01
1201,1978,834276,2020-05-01
1,4,18123,2020-04-15
15,14,108424,2020-05-05
306,0,1083476,2020-05-03
39,122,2484148,2020-05-18
10,14,144497,2020-05-22
1,3,68966,2020-05-22
11,11,60058,2020-03-25
17,0,19164,2020-04-09
4,6,19164,2020-03-25
3,10,144497,2020-05-22
645,0,118,2020-03-01
638,0,34158,2020-03-30
0,3,68966,2020-05-02
4,4,60058,2020-04-26
7,31,18123,2020-05-03
28,0,39508,2020-04-23
2,7,68966,2020-04-02
4,2,60058,2020-05-18
15,12,91616,2020-04-23
0,0,68966,2020-03-28
10809,0,144497,2020-04-02
0,0,2033,2020-03-04
0,1,68966,2020-03-31
3,4,60058,2020-04-23
56,0,14081,2020-04-04
818,0,128,2020-04-18
3,13,68966,2020-04-22
2,2,60058,2020-05-04
5,9,68966,2020-05-04
5,0,8651,2020-04-18
2,2,60058,2020-04-13
124,357,2484148,2020-04-09
9,15,1328359,2020-05-25
0,2,3342,2020-03-05
12,16,45459,2020-04-07
1,6,28473,2020-03-23
0,1,1808,2020-03-02
