id,conversation_id,p,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1394666219542761472,1394666219542761472,2021-05-18 10:48:33 Eastern Daylight Time,2021-05-18,10:48:33,-0400,19091173,scrowder,Steven Crowder,, https://t.co/a3PqdmB6DG,und,[],[],['https://pbs.twimg.com/media/E1rZfCPUcAAjAKz.jpg'],65,48,826,[],[],https://twitter.com/scrowder/status/1394666219542761472,False,https://twitter.com/DeniseT44223554/status/1394665714854899720,1,https://pbs.twimg.com/media/E1rZfCPUcAAjAKz.jpg,,,,,,,[],,,,
1394377149449187328,1394377149449187328,2021-05-17 15:39:53 Eastern Daylight Time,2021-05-17,15:39:53,-0400,19091173,scrowder,Steven Crowder,,Louder with Crowder LLC through its lawyer gave a legal notice to YouTube of the intent to file a lawsuit and seek an injunction. Press play ▶️ Full video on IG. • • • #lowderwithcrowder  #MondayMotivaton  #mondaythoughts  #lwc  #BigTech  #censorship #fightlikehell #youtube  https://t.co/1vSeoS3CXo,en,[],[],[],376,754,3867,"['lowderwithcrowder', 'mondaymotivaton', 'mondaythoughts', 'lwc', 'bigtech', 'censorship', 'fightlikehell', 'youtube']",[],https://twitter.com/scrowder/status/1394377149449187328,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1394377077420445697/pu/img/F-rUS-MxsgLVSxg5.jpg,,,,,,,[],,,,
1393617350247735298,1393617350247735298,2021-05-15 13:20:43 Eastern Daylight Time,2021-05-15,13:20:43,-0400,19091173,scrowder,Steven Crowder,,One side issues PRE-strike warnings to civilians before attacking a known Hamas intelligence target to avoid collateral damage. The other deliberately launches rockets into known civilian areas to inflict maximum collateral damage.,en,[],[],[],224,712,3583,[],[],https://twitter.com/scrowder/status/1393617350247735298,False,https://twitter.com/AJEnglish/status/1393532886679228416,0,,,,,,,,[],,,,
1393615869192900612,1393615869192900612,2021-05-15 13:14:50 Eastern Daylight Time,2021-05-15,13:14:50,-0400,19091173,scrowder,Steven Crowder,,"“Fights back”?! Your video literally shows rockets being fired, with intent, into known civilian areas to inflict as many innocent casualties as possible.  And @Twitter bans President Trump...",en,"[{'screen_name': 'twitter', 'name': 'twitter', 'id': '783214'}]",[],[],119,637,3748,[],[],https://twitter.com/scrowder/status/1393615869192900612,False,https://twitter.com/ZaidZamanHamid/status/1393443422745280516,0,,,,,,,,[],,,,
1393615206501265423,1393615206501265423,2021-05-15 13:12:12 Eastern Daylight Time,2021-05-15,13:12:12,-0400,19091173,scrowder,Steven Crowder,,"Big announcements, and the fight of our life coming Monday...",en,[],[],[],589,1621,20226,[],[],https://twitter.com/scrowder/status/1393615206501265423,False,,0,,,,,,,,[],,,,
1393172396803305477,1393172396803305477,2021-05-14 07:52:37 Eastern Daylight Time,2021-05-14,07:52:37,-0400,19091173,scrowder,Steven Crowder,,APOLOGIZE FOR WHAT?!,en,[],[],[],648,844,15785,[],[],https://twitter.com/scrowder/status/1393172396803305477,False,,0,,,,,,,,[],,,,
1392963559894704139,1392963559894704139,2021-05-13 18:02:47 Eastern Daylight Time,2021-05-13,18:02:47,-0400,19091173,scrowder,Steven Crowder,,... so you want “masks” to remain as a political fixture... indefinitely?,en,[],[],[],126,276,3019,[],[],https://twitter.com/scrowder/status/1392963559894704139,False,https://twitter.com/wendyluwrites/status/1392935233058746369,0,,,,,,,,[],,,,
1392808098277036037,1392808098277036037,2021-05-13 07:45:02 Eastern Daylight Time,2021-05-13,07:45:02,-0400,19091173,scrowder,Steven Crowder,,"“Yet little sleep, a little slumber, a little folding of the hands to sleep: so shall thy poverty come as one that travelleth; and thy want as an armed man.” Proverbs 24:30 #NOBODYWANTSTOWORKANYMORE",en,[],[],[],188,186,1825,['nobodywantstoworkanymore'],[],https://twitter.com/scrowder/status/1392808098277036037,False,,0,,,,,,,,[],,,,
1392807027680948230,1392807027680948230,2021-05-13 07:40:47 Eastern Daylight Time,2021-05-13,07:40:47,-0400,19091173,scrowder,Steven Crowder,,"“Trading hours of their life to “earn” necessities” is the DEFINITION of work.  There are TWO things productive members of society most avail to the world: 1. Your time 2. Quantifiable value added.  Both can be measured. If you provide neither, you deserve nothing.",en,[],[],[],97,216,1710,[],[],https://twitter.com/scrowder/status/1392807027680948230,False,https://twitter.com/plsleaveamsg/status/1392589155008401412,0,,,,,,,,[],,,,
1392805449326596096,1392805449326596096,2021-05-13 07:34:30 Eastern Daylight Time,2021-05-13,07:34:30,-0400,19091173,scrowder,Steven Crowder,,"“WE ARE CLOSED” trend is filled with entitled crybabies.  There is a greater job surplus than at any point in modern American history, a HUGE portion of which pay far more than $15/hr.  If you think that plumbing, welding and carpentry is beneath you, you get nothing.",en,[],[],[],1234,1695,13761,[],[],https://twitter.com/scrowder/status/1392805449326596096,False,,0,,,,,,,,[],,,,
1392610671611817987,1392610671611817987,2021-05-12 18:40:32 Eastern Daylight Time,2021-05-12,18:40:32,-0400,19091173,scrowder,Steven Crowder,,Both inflation and gas prices are at a twelve year high.  There is more conflict in the Middle East than in the last 4 years and we had the worst jobs report of the last 5 years...  https://t.co/iTMrZsVz3e,en,[],[],['https://pbs.twimg.com/tweet_video_thumb/E1OMBjRXIAIZdvW.jpg'],339,2182,11820,[],[],https://twitter.com/scrowder/status/1392610671611817987,False,,1,https://pbs.twimg.com/tweet_video_thumb/E1OMBjRXIAIZdvW.jpg,,,,,,,[],,,,
1392489139803590660,1392489139803590660,2021-05-12 10:37:36 Eastern Daylight Time,2021-05-12,10:37:36,-0400,19091173,scrowder,Steven Crowder,,"Why no live show today, you ask? Ah. Well YouTube hit our channel with a second hard strike, saying we violated their harassment guidelines. Which is interesting when you consider all the harassment YouTube allows if it comes from the left...  https://t.co/VDAEM2tP3m",en,[],[],[],941,1577,6780,[],[],https://twitter.com/scrowder/status/1392489139803590660,False,,1,https://pbs.twimg.com/amplify_video_thumb/1392487723479433218/img/8ik_HUVCMtDKOBkH.jpg,,,,,,,[],,,,
